,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill/pot
45,Carlos Soler,ESP,West Ham,"MF,FW",28,29,14,1358.0,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,,,,,29.2,0.46,0.04,19.1,535,85.1,8339,94.4,85.5,53.7,14,41,11,0,52,47,3.12,2,0.13,15,11,23,16,19,6,13,8,747,26,173,390,189,23,18,8,9,341,714,16,16,4,12,14,506,33,24,18,0,32,64,9,11,45.0,€23.4M,71.4/71.6
46,Casemiro,BRA,Manchester Utd,MF,33,22,16,1335.0,1,0,3,0,1.7,2.3,4,70,26,0.07,0.00,0.11,0.15,,,,,28.6,0.54,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.20,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,3,3,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6,€11.6M,72.4/72.4
47,Chris Richards,USA,Crystal Palace,DF,25,20,18,1562.0,1,0,4,1,1.2,0.1,5,34,1,0.06,0.00,0.07,0.01,,,,,50.0,0.29,0.10,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,34,7,0.40,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,1,5,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5,€15.7M,71.1/75.3
48,Chris Wood,NZL,Nott'ham Forest,FW,34,32,31,2599.0,19,3,1,0,11.4,2.4,13,34,79,0.66,0.10,0.40,0.08,,,,,56.6,1.04,0.30,14.2,277,66.1,3819,71.3,65.1,71.4,18,15,8,1,34,39,1.35,5,0.17,4,4,8,7,11,7,4,5,662,33,79,318,267,85,12,4,7,327,434,13,10,5,67,24,486,79,22,20,26,1,42,82,123,40.0,€7.8M,73.1/73.1
49,Christian Nørgaard,DEN,Brentford,MF,31,31,31,2549.0,5,3,6,1,4.0,1.0,12,133,37,0.18,0.11,0.14,0.04,,,,,34.3,0.42,0.14,14.3,1048,81.3,17374,87.0,85.1,58.6,17,127,24,4,133,49,1.73,10,0.35,75,45,71,27,51,19,32,45,1637,161,561,779,312,52,13,6,5,738,1204,12,12,4,31,18,974,37,41,28,1,15,179,44,29,60.3,€14.4M,73.7/73.7
50,Christopher Nkunku,FRA,Chelsea,FW,28,27,9,921.0,3,2,2,0,4.8,2.1,17,25,68,0.29,0.20,0.47,0.21,,,,,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,10,14,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1,€51.7M,79.1/81.0
51,Cody Gakpo,NED,Liverpool,FW,26,32,20,1717.0,9,3,5,0,6.5,3.5,51,52,252,0.47,0.16,0.34,0.18,,,,,41.2,1.10,0.18,15.2,439,75.8,6272,86.6,66.5,54.8,33,22,27,8,52,71,3.72,7,0.37,26,14,23,12,19,2,17,11,795,21,75,230,506,90,49,29,15,538,1973,51,32,20,38,20,606,252,17,25,5,68,66,15,24,38.5,€67.5M,86.3/89.3
52,Cole Palmer,ENG,Chelsea,MF,23,34,33,2921.0,15,8,6,0,16.8,10.0,108,201,169,0.46,0.25,0.52,0.31,,,,,35.7,1.26,0.10,20.2,1043,76.9,19874,85.8,84.8,60.0,82,152,62,17,201,188,5.79,15,0.46,27,17,23,14,14,1,13,11,1692,20,140,757,817,133,104,48,41,1068,3461,108,67,39,63,34,1247,169,13,57,6,134,100,1,7,12.5,€115.4M,80.1/92.5
53,Conor Coady,ENG,Leicester City,DF,32,19,16,1444.0,0,0,2,0,0.1,0.1,3,30,0,0.00,0.00,0.01,0.00,,,,,100.0,0.06,0.00,9.2,829,90.9,14352,97.0,96.6,52.7,1,32,2,0,30,5,0.31,0,0.00,12,8,6,3,27,20,7,13,1036,199,569,450,18,6,2,1,1,676,1556,3,3,1,4,2,762,0,7,2,1,0,50,13,19,40.6,€2.2M,61.3/61.3
54,Craig Dawson,ENG,Wolves,DF,35,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.00,0.00,0.05,0.00,,,,,20.0,0.09,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,1,2,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6,€1.5M,64.4/64.4
